Product ID,Brand,Category,Solid By,Product Detail,Title,Price,Sizes,Description,Photo URLs,URL_Product
70530225,Groovee,Pants,Sold by: ENNOBLE,Color: BLACK|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dcab85405c54b236ce9/img_0431-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dcab85405c54b236ce8/img_0432-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-21
83410192,Groovee,Pants,Sold by: ENNOBLE,Color: BLUE|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN BLUE FORMAL TROUSER SLIM FIT Viscose Fabric  (Ankle Length),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e961cd316c54460b436/img_0306-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e961cd316c54460b437/img_0326-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-blue-formal-trouser-slim-fit-viscose-fabric-ankle-length-
50224134,Groovee,Pants,Sold by: ENNOBLE,Color: BLUE|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN BLUE FORMAL TROUSER SLIM FIT Viscose Fabric  (Mid Rise),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e918207f4d8c37e0a54/img_1774-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e918207f4d8c37e0a52/img_1775-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-blue-formal-trouser-slim-fit-viscose-fabric-mid-rise-
52285756,Groovee,Pants,Sold by: ENNOBLE,Color: KHAKI|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dc38713e74ef73540a3/img_0011-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dc38713e74ef735408f/img_0001-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-25
89520672,Groovee,Pants,Sold by: ENNOBLE,Color: GREY|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN FORMAL TROUSER SLIM FIT Viscose Fabric Grey Color,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2eb931c5e8c4e16ca255/img_1701-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eb831c5e8c4e16ca249/img_1699-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-formal-trouser-slim-fit-viscose-fabric-grey-color
51635477,Groovee,Pants,Sold by: ENNOBLE,Color: GREEN|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dd331c5e8c4e16c8348/img_0270-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dd231c5e8c4e16c8347/img_0263-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-13
77441330,Groovee,Pants,Sold by: ENNOBLE,Color: ORANGE|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ecdfabaaa78b479f59e/img_0169-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ecdfabaaa78b479f582/img_0167-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-33
17361749,Groovee,Pants,Sold by: ENNOBLE,Color: BLACK|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2de30e01ffd864dca536/img_0062-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2de30e01ffd864dca534/img_0069-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-3
76363057,Groovee,Pants,Sold by: ENNOBLE,Color: BLACK|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2de731c5e8c4e16c85aa/img_0007-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2de731c5e8c4e16c859c/img_0005-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos
55489070,Groovee,Pants,Sold by: ENNOBLE,Color: BLUE|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN FORMAL TROUSER SLIM FIT Viscose Fabric Blue Color,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ebd31c5e8c4e16ca2a3/img_0478-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ebd31c5e8c4e16ca2a5/img_0485-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-formal-trouser-slim-fit-viscose-fabric-blue-color
02083192,Groovee,Pants,Sold by: ENNOBLE,Color: BLUE|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,Ennoble Mens Slim fit Self texture Formal trouser - Blue  (Mid Rise & Ankle Length),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ebdcc8b354f60be8365/img_0326-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ebdcc8b354f60be8363/img_0328-1800x1800.jpg",https://www.groovee.in/product/ennoble-mens-slim-fit-self-texture-formal-trouser-blue-mid-rise-and-ankle-length-
18743796,Groovee,Pants,Sold by: ENNOBLE,Color: BIEGE|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ec995bf8ec4daf4bd4b/img_0245-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ec895bf8ec4daf4bd3d/img_0240-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-37
57611397,Groovee,Pants,Sold by: ENNOBLE,Color: BLUE|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN BLUE FORMAL TROUSER SLIM FIT Viscose Fabric,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e9664a2114ef058569c/whatsapppercent20imagepercent202022-01-08percent20atpercent2013-21-08-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e9564a2114ef0585689/img_0138-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-blue-formal-trouser-slim-fit-viscose-fabric
43015281,Groovee,Pants,Sold by: ENNOBLE,Color: KHAKI|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dc38207f4d8c37dd832/img_0046-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dc38207f4d8c37dd833/img_0053-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-27
61261791,Groovee,Pants,Sold by: ENNOBLE,Color: GREEN|Washcare: MACHINE WASH|Fabric: PURE COTTON|Occasion: CASUAL WEAR,Ennoble Smart Fit Black Casual Cotton Chinos,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2dcf744be24f6744e70b/img_0363-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2dcf744be24f6744e70a/img_0369-1800x1800.jpg",https://www.groovee.in/product/ennoble-smart-fit-black-casual-cotton-chinos-18
93595622,Groovee,Pants,Sold by: ENNOBLE,Color: BLUE|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN FORMAL TROUSER SLIM FIT Viscose Fabric  Blue - Mid Rise,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e9ae48113d8e4ce475d/img_1601-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e9ae48113d8e4ce475e/img_1599-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-formal-trouser-slim-fit-viscose-fabric-blue-mid-rise-2
02884012,Groovee,Pants,Sold by: ENNOBLE,Color: BLUE|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,Ennoble Mens Slim fit Self texture Formal trouser - Blue (Ankle Length),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2ebdfabaaa78b479f2f5/img_0362-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ebcfabaaa78b479f2f1/img_0358-1800x1800.jpg",https://www.groovee.in/product/ennoble-mens-slim-fit-self-texture-formal-trouser-blue-ankle-length-
46804089,Groovee,Pants,Sold by: ENNOBLE,Color: GREEN|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN FORMAL TROUSER SLIM FIT Viscose Fabric Green Color,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2eb9744be24f67451173/img_1828-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eb9744be24f6745116f/img_1829-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-formal-trouser-slim-fit-viscose-fabric-green-color
09583459,Groovee,Pants,Sold by: ENNOBLE,Color: GREY|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN GREY FORMAL TROUSER SLIM FIT Viscose Fabric,"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e9631c5e8c4e16c9f36/img_1676-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e9531c5e8c4e16c9f2e/img_1671-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-grey-formal-trouser-slim-fit-viscose-fabric
98208275,Groovee,Pants,Sold by: ENNOBLE,Color: GREY|Washcare: MACHINE WASH|Fabric: VISCOSE|Occasion: CASUAL WEAR,ENNOBLE MEN FORMAL TROUSER SLIM FIT Viscose Fabric Grey Color (Ankle Length),"2,999",30|32|34|36|38,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2eb031c5e8c4e16ca18b/img_0053-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eaf31c5e8c4e16ca172/img_0051-1800x1800.jpg",https://www.groovee.in/product/ennoble-men-formal-trouser-slim-fit-viscose-fabric-grey-color-ankle-length-
